query_id,dataset,seed,mode,method,selected_action,dense_search_ms,bm25_search_ms,graph_expansion_ms,fusion_ms,cross_encoder_ms,feature_extraction_ms,router_decision_ms,total_ms,cross_encoder_calls,candidates_reranked,candidates_explored
1,scifact,123,lite,lite,Deep Hybrid,0.3968999953940511,5.161400011274964,0.013299984857439995,0.015600002370774746,582.8506000107154,3.0513000092469156,1.2971999822184443,592.786299996078,1,100,0
1012,scifact,123,lite,lite,Dense,0.3554000286385417,11.940499942284077,0.013400043826550245,0.026699970476329327,0.0,3.159100015182048,1.1960999690927565,16.691199969500303,0,0,0
1024,scifact,123,lite,lite,Deep Hybrid,0.38359995232895017,12.247900012880564,0.01279998105019331,0.026600027922540903,590.5025000683963,2.322999993339181,1.0710000060498714,606.5674000419676,1,100,0
1029,scifact,123,lite,lite,Dense,0.33949996577575803,23.633399978280067,0.016600009985268116,0.0315000070258975,0.0,2.9615999665111303,1.0232999920845032,28.005899919662625,0,0,0
1049,scifact,123,lite,lite,Dense,0.3772000200115144,12.980500003322959,0.010199961252510548,0.02269999822601676,0.0,2.977200027089566,1.0383999906480312,17.406200000550598,0,0,0
1062,scifact,123,lite,lite,Dense,0.3738999948836863,7.191499986220151,0.010100018698722124,0.02529995981603861,0.0,3.0969000072218478,1.0157999931834638,11.71349996002391,0,0,0
1088,scifact,123,lite,lite,Dense,0.36020000698044896,16.277600021567196,0.012199976481497288,0.026500027161091566,0.0,2.5540999486111104,1.0349000222049654,20.26550000300631,0,0,0
1089,scifact,123,lite,lite,Dense,0.38949999725446105,14.535500027704984,0.01209997572004795,0.026900030206888914,0.0,3.25960002373904,1.033000007737428,19.25660006236285,0,0,0
1099,scifact,123,lite,lite,Deep Hybrid,0.38079998921602964,6.025100010447204,0.01209997572004795,0.024600012693554163,738.0258000339381,3.6507999757304788,1.0086999973282218,749.1278999950737,1,100,0
1100,scifact,123,lite,lite,Deep Hybrid,0.334200041834265,5.6573000038042665,0.010399962775409222,0.02300000051036477,756.1709999572486,3.2892000162974,1.0104000102728605,766.4954999927431,1,100,0
