dataset,mode,method,ndcg,delta_dense,delta_hybrid,latency,latency_saving,activation,p_dense,p_hybrid
SciFact,--,Dense-only,0.6465710417012945,0.0,-0.08645268711734888,3.0543684217251696,0.9957018231194388,0.0,1.0,0.00020848569572725218
SciFact,--,Always-Hybrid,0.7330237288186434,0.08645268711734888,0.0,710.6195269763692,0.0,1.0,0.00020848569572725218,1.0
SciFact,--,Random,0.6676151991216557,0.02104415742036116,-0.0654085296969877,197.21063487001837,0.7224806983434099,0.27631578947368424,0.12827732283188453,0.0005797408675955284
SciFact,--,Dense-margin,0.7307433111654209,0.08417226946412641,-0.002280417653222461,402.6977486855577,0.4333145468166273,0.5657894736842105,4.7027854719702935e-05,0.8329865477362455
SciFact,--,Dense-entropy,0.713231313845186,0.06666027214389149,-0.019792414973457365,416.0727157897769,0.41449298816747415,0.5855263157894737,0.0011183487419763067,0.08733415488043997
SciFact,--,Regression-only,0.6956778759925231,0.049106834291228564,-0.037345852826120296,441.85003618415516,0.37821855520324266,0.6118421052631579,0.01033042415980623,0.006636197778879291
SciFact,--,Classification-only,0.7287413542804386,0.08217031257914405,-0.0042823745382048195,595.8319039493758,0.16153176020282722,0.8223684210526315,0.00034613153904813296,0.3189103069972713
SciFact,--,Oracle,0.7663060998155725,0.11973505811427806,0.033282370996929204,185.13271315804386,0.7394770251448491,0.2565789473684211,8.847601933978801e-09,0.00024035079365496175
SciFact,Balanced,B-P-SAFE,0.6964820754872394,0.049911033785944824,-0.036541653331404036,467.1254671097574,0.3425578757875666,0.6381578947368421,0.01135812072263919,0.004704713554135135
SciFact,High recall,B-P-SAFE,0.7022568233609441,0.05568578165964962,-0.03076690545769924,486.16480789573154,0.31576151050398815,0.6644736842105263,0.005838804374136168,0.01117816976935826
FiQA,--,Dense-only,0.40845084623035394,0.0,-0.024295359523602306,5.596369847454705,0.9936280591828411,0.0,1.0,0.058105722804554526
FiQA,--,Always-Hybrid,0.43274620575395617,0.024295359523602306,0.0,878.283400307854,0.0,1.0,0.058105722804554526,1.0
FiQA,--,Random,0.4211270422260178,0.01267619599566394,-0.011619163527938361,232.29652184661336,0.7355107454322952,0.26153846153846155,0.12426660674848611,0.23770586484345713
FiQA,--,Dense-margin,0.4239319951545527,0.015481148924198815,-0.008814210599403495,176.95030215563105,0.7985271017377684,0.19692307692307692,0.025287303706703748,0.41498147436472743
FiQA,--,Dense-entropy,0.43350177900111886,0.02505093277076492,0.0007555732471626168,677.8851467697809,0.22817037583521438,0.7692307692307693,0.02588900058668498,0.9023135569636248
FiQA,--,Regression-only,0.4373247538621144,0.028873907631760416,0.004578548108158113,738.1503963073716,0.1595532876419653,0.84,0.009770217209105711,0.4640565376423672
FiQA,--,Classification-only,0.43274620575395617,0.024295359523602306,0.0,872.497138461865,0.006588148932293092,0.9938461538461538,0.058105722804554526,1.0
FiQA,--,Oracle,0.4896670318987655,0.08121618566841149,0.056920826144809186,286.3653652327851,0.6739487901827486,0.3169230769230769,9.254860443697336e-17,1.0347371403156776e-14
FiQA,Balanced,B-P-SAFE,0.4216747787633763,0.013223932533022323,-0.011071426990579978,499.1296067703157,0.4316339769171882,0.4584615384615385,0.14623288960804703,0.2214940238044396
FiQA,High recall,B-P-SAFE,0.4284557242475001,0.020004878017146156,-0.004290481506456146,632.0897603045719,0.2802303481448315,0.64,0.04478568832573221,0.5953718051743895
NFCorpus,--,Dense-only,0.3338768214476023,0.0,-0.029319126222104135,2.65945926161345,0.9963134499166418,0.0,1.0,0.015025351380550429
NFCorpus,--,Always-Hybrid,0.3631959476697065,0.029319126222104135,0.0,721.3951259251346,0.0,1.0,0.015025351380550429,1.0
NFCorpus,--,Random,0.34061434551127284,0.006737524063670547,-0.022581602158433585,233.2176092607446,0.6767130787560275,0.3148148148148148,0.19314756623041696,0.03886836071242571
NFCorpus,--,Dense-margin,0.3499575712556848,0.01608074980808246,-0.013238376414021672,391.05056790536565,0.4579245771810935,0.5370370370370371,0.11350922219700244,0.04463083993083171
NFCorpus,--,Dense-entropy,0.3486250852072995,0.014748263759697174,-0.014570862462406962,294.88386049676274,0.5912311437943297,0.3888888888888889,0.08326776053910821,0.09075697687017503
NFCorpus,--,Regression-only,0.3549176083015669,0.02104078685396453,-0.008278339368139603,197.74252716278727,0.7258887396706521,0.2839506172839506,0.019087928124209542,0.30772509982839147
NFCorpus,--,Classification-only,0.3479169541191857,0.014040132671583461,-0.015278993550520672,265.4945283960683,0.6319707205457041,0.37037037037037035,0.14759187067056323,0.03533221239318008
NFCorpus,--,Oracle,0.3941244649470096,0.06024764349940733,0.0309285172773032,298.08968765635996,0.5867872169581372,0.4074074074074074,1.099759271123942e-09,2.1026329169189312e-07
NFCorpus,Balanced,B-P-SAFE,0.3578996251800682,0.024022803732465844,-0.005296322489638296,392.7437895050209,0.455501950049521,0.5493827160493827,0.02732169916168081,0.31403319114727646
NFCorpus,High recall,B-P-SAFE,0.3625641358655185,0.0286873144179162,-0.0006318118041879357,574.2797271580648,0.20382142272000991,0.7962962962962963,0.012634386444855698,0.8617343964270019
ArguAna,--,Dense-only,0.39457959764510603,0.0,0.0030349610568060803,3.2040226635008677,0.9972916350995009,0.0,1.0,0.8128099640574669
ArguAna,--,Always-Hybrid,0.39154463658829985,-0.0030349610568060803,0.0,1183.0099640230915,0.0,1.0,0.8128099640574669,1.0
ArguAna,--,Random,0.38733467998380605,-0.007244917661299868,-0.004209956604493791,439.8469558072885,0.6281967445891241,0.36827195467422097,0.32986162387638307,0.6866804678025611
ArguAna,--,Dense-margin,0.4005319730622582,0.0059523754171522895,0.00898733647395837,135.98247563780305,0.885053820531347,0.11189801699716714,0.1518762304046899,0.4584256826951071
