query_id,method,ndcg_at_10
PLAIN-2500,P-SAFE-AMSR,0.154876
PLAIN-2510,Dense,0.784617
PLAIN-2510,P-SAFE-AMSR,0.621499
PLAIN-2520,Dense,0.078398
PLAIN-2520,P-SAFE-AMSR,0.128864
PLAIN-2530,Dense,0.909543
PLAIN-2530,P-SAFE-AMSR,0.909543
PLAIN-2540,Dense,0.271030
PLAIN-2540,P-SAFE-AMSR,0.103904
PLAIN-2550,Dense,0.123472
PLAIN-2550,P-SAFE-AMSR,0.080974
PLAIN-2600,Dense,0.701335
PLAIN-2600,P-SAFE-AMSR,0.698164
PLAIN-2610,Dense,0.254698
PLAIN-2610,P-SAFE-AMSR,0.371489
PLAIN-2620,Dense,0.026133
PLAIN-2620,P-SAFE-AMSR,0.212226
PLAIN-2630,Dense,0.494640
PLAIN-2630,P-SAFE-AMSR,0.494640
PLAIN-2640,Dense,0.435386
PLAIN-2640,P-SAFE-AMSR,0.598000
PLAIN-2650,Dense,0.648932
PLAIN-2650,P-SAFE-AMSR,0.648932
PLAIN-2660,Dense,0.403502
PLAIN-2660,P-SAFE-AMSR,0.321951
PLAIN-2670,Dense,0.487430
PLAIN-2670,P-SAFE-AMSR,0.487430
PLAIN-2680,Dense,0.134494
PLAIN-2680,P-SAFE-AMSR,0.412953
PLAIN-270,Dense,0.138862
PLAIN-270,P-SAFE-AMSR,0.298490
PLAIN-2700,Dense,0.353895
PLAIN-2700,P-SAFE-AMSR,0.472500
PLAIN-2710,Dense,0.640279
PLAIN-2710,P-SAFE-AMSR,0.646426
PLAIN-2720,Dense,0.024455
PLAIN-2720,P-SAFE-AMSR,0.066254
PLAIN-2760,Dense,0.410434
PLAIN-2760,P-SAFE-AMSR,0.160846
PLAIN-2790,Dense,0.383633
PLAIN-2790,P-SAFE-AMSR,0.696840
PLAIN-2800,Dense,0.071652
PLAIN-2800,P-SAFE-AMSR,0.190665
PLAIN-2810,Dense,0.000000
PLAIN-2810,P-SAFE-AMSR,0.109927
PLAIN-2830,Dense,0.312770
PLAIN-2830,P-SAFE-AMSR,0.312770
PLAIN-2850,Dense,0.348846
PLAIN-2850,P-SAFE-AMSR,0.151314
PLAIN-2860,Dense,1.000000
PLAIN-2860,P-SAFE-AMSR,1.000000
PLAIN-2870,Dense,0.060833
PLAIN-2870,P-SAFE-AMSR,0.063750
PLAIN-2890,Dense,0.289260
PLAIN-2890,P-SAFE-AMSR,0.177359
PLAIN-2920,Dense,0.000000
PLAIN-2920,P-SAFE-AMSR,0.000000
PLAIN-2930,Dense,0.517586
PLAIN-2930,P-SAFE-AMSR,0.534877
PLAIN-2981,Dense,0.532104
PLAIN-2981,P-SAFE-AMSR,0.532104
PLAIN-2991,Dense,0.000000
PLAIN-2991,P-SAFE-AMSR,0.386853
PLAIN-3026,Dense,0.000000
PLAIN-3026,P-SAFE-AMSR,0.000000
PLAIN-3037,Dense,0.123151
PLAIN-3037,P-SAFE-AMSR,0.130127
PLAIN-3074,Dense,1.000000
PLAIN-3074,P-SAFE-AMSR,1.000000
PLAIN-3131,Dense,0.170756
PLAIN-3131,P-SAFE-AMSR,0.408541
PLAIN-3191,Dense,0.277123
PLAIN-3191,P-SAFE-AMSR,0.504652
PLAIN-3231,Dense,0.312708
PLAIN-3231,P-SAFE-AMSR,0.000000
PLAIN-3241,Dense,0.289260
PLAIN-3241,P-SAFE-AMSR,0.289260
PLAIN-3251,Dense,0.044175
PLAIN-3251,P-SAFE-AMSR,0.096420
PLAIN-3261,Dense,0.000000
PLAIN-3261,P-SAFE-AMSR,0.170350
PLAIN-3271,Dense,0.000000
PLAIN-3271,P-SAFE-AMSR,0.000000
PLAIN-3281,Dense,0.242497
PLAIN-3281,P-SAFE-AMSR,0.384348
PLAIN-33,Dense,0.348847
PLAIN-33,P-SAFE-AMSR,0.604225
PLAIN-3302,Dense,0.050941
PLAIN-3302,P-SAFE-AMSR,0.065817
PLAIN-3312,Dense,0.000000
PLAIN-3312,P-SAFE-AMSR,0.000000
PLAIN-332,Dense,0.613147
PLAIN-332,P-SAFE-AMSR,0.386853
PLAIN-3332,Dense,0.632520
PLAIN-3332,P-SAFE-AMSR,0.562668
PLAIN-3362,Dense,0.421382
PLAIN-3362,P-SAFE-AMSR,0.421382
PLAIN-3382,Dense,0.507699
PLAIN-3382,P-SAFE-AMSR,0.630051
PLAIN-3412,Dense,0.064058
PLAIN-3412,P-SAFE-AMSR,0.177678
PLAIN-3422,Dense,0.047395
PLAIN-3422,P-SAFE-AMSR,0.130993
PLAIN-3432,Dense,0.342101
PLAIN-3432,P-SAFE-AMSR,0.069431
PLAIN-344,Dense,0.211509
PLAIN-344,P-SAFE-AMSR,0.388234
PLAIN-3442,Dense,0.000000
PLAIN-3442,P-SAFE-AMSR,0.044552
PLAIN-3452,Dense,0.476616
PLAIN-3452,P-SAFE-AMSR,0.476616
PLAIN-3462,Dense,0.616504
PLAIN-3462,P-SAFE-AMSR,0.577425
PLAIN-3472,Dense,0.143672
PLAIN-3472,P-SAFE-AMSR,0.143672
PLAIN-358,Dense,0.000000
PLAIN-358,P-SAFE-AMSR,0.000000
PLAIN-371,Dense,0.275412
PLAIN-371,P-SAFE-AMSR,0.275412
PLAIN-407,Dense,0.726229
PLAIN-407,P-SAFE-AMSR,0.726229
PLAIN-418,Dense,0.907284
PLAIN-418,P-SAFE-AMSR,0.907284
PLAIN-457,Dense,0.000000
PLAIN-457,P-SAFE-AMSR,0.000000
PLAIN-468,Dense,0.495450
PLAIN-468,P-SAFE-AMSR,0.495450
PLAIN-499,Dense,0.268553
PLAIN-499,P-SAFE-AMSR,0.268553
PLAIN-510,Dense,0.000000
PLAIN-510,P-SAFE-AMSR,0.000000
PLAIN-520,Dense,0.000000
PLAIN-520,P-SAFE-AMSR,0.000000
PLAIN-541,Dense,0.282013
PLAIN-541,P-SAFE-AMSR,0.107789
PLAIN-561,Dense,0.358954
PLAIN-561,P-SAFE-AMSR,0.358954
PLAIN-571,Dense,0.291810
PLAIN-571,P-SAFE-AMSR,0.291810
PLAIN-623,Dense,0.248908
PLAIN-623,P-SAFE-AMSR,0.248908
PLAIN-634,Dense,0.424926
PLAIN-634,P-SAFE-AMSR,0.453743
PLAIN-645,Dense,0.000000
PLAIN-645,P-SAFE-AMSR,0.000000
PLAIN-671,Dense,1.000000
PLAIN-671,P-SAFE-AMSR,1.000000
PLAIN-681,Dense,1.000000
PLAIN-681,P-SAFE-AMSR,1.000000
PLAIN-701,Dense,0.521468
PLAIN-701,P-SAFE-AMSR,0.576641
PLAIN-711,Dense,0.330138
PLAIN-711,P-SAFE-AMSR,0.330138
PLAIN-731,Dense,0.684837
PLAIN-731,P-SAFE-AMSR,0.492282
PLAIN-741,Dense,0.630043
PLAIN-741,P-SAFE-AMSR,0.630043
PLAIN-751,Dense,0.000000
PLAIN-751,P-SAFE-AMSR,0.000000
PLAIN-771,Dense,1.000000
PLAIN-771,P-SAFE-AMSR,1.000000
PLAIN-78,Dense,0.121601
PLAIN-78,P-SAFE-AMSR,0.160630
PLAIN-806,Dense,0.800694
PLAIN-806,P-SAFE-AMSR,0.769526
PLAIN-817,Dense,0.000000
PLAIN-817,P-SAFE-AMSR,0.000000
PLAIN-838,Dense,0.776747
PLAIN-838,P-SAFE-AMSR,0.776747
PLAIN-850,Dense,0.630043
PLAIN-850,P-SAFE-AMSR,0.657899
PLAIN-872,Dense,0.000000
PLAIN-872,P-SAFE-AMSR,0.000000
PLAIN-902,Dense,0.636682
PLAIN-902,P-SAFE-AMSR,0.585570
PLAIN-946,Dense,0.000000
PLAIN-946,P-SAFE-AMSR,0.085143
PLAIN-977,Dense,0.469279
PLAIN-977,P-SAFE-AMSR,0.296082
