query_id,method,ndcg_at_10
569,Dense,1.000000
569,P-SAFE-AMSR,1.000000
575,Dense,0.630930
575,P-SAFE-AMSR,0.630930
577,Dense,0.500000
577,P-SAFE-AMSR,0.315465
613,Dense,1.000000
613,P-SAFE-AMSR,1.000000
619,Dense,0.000000
619,P-SAFE-AMSR,0.000000
628,Dense,1.000000
628,P-SAFE-AMSR,1.000000
636,Dense,1.000000
636,P-SAFE-AMSR,1.000000
644,Dense,0.000000
644,P-SAFE-AMSR,0.000000
649,Dense,0.500000
649,P-SAFE-AMSR,0.500000
660,Dense,0.000000
660,P-SAFE-AMSR,0.000000
674,Dense,0.500000
674,P-SAFE-AMSR,0.500000
684,Dense,0.500000
684,P-SAFE-AMSR,0.500000
690,Dense,1.000000
690,P-SAFE-AMSR,1.000000
691,Dense,1.000000
691,P-SAFE-AMSR,1.000000
693,Dense,1.000000
693,P-SAFE-AMSR,1.000000
70,Dense,0.204382
70,P-SAFE-AMSR,0.204382
700,Dense,0.630930
700,P-SAFE-AMSR,0.630930
702,Dense,0.500000
702,P-SAFE-AMSR,0.500000
72,Dense,0.630930
72,P-SAFE-AMSR,0.630930
729,Dense,0.630930
729,P-SAFE-AMSR,0.630930
743,Dense,1.000000
743,P-SAFE-AMSR,1.000000
744,Dense,0.500000
744,P-SAFE-AMSR,0.500000
75,Dense,1.000000
75,P-SAFE-AMSR,1.000000
756,Dense,0.630930
756,P-SAFE-AMSR,0.630930
768,Dense,0.000000
768,P-SAFE-AMSR,0.000000
775,Dense,0.000000
775,P-SAFE-AMSR,0.000000
784,Dense,0.630930
784,P-SAFE-AMSR,0.630930
785,Dense,0.000000
785,P-SAFE-AMSR,0.000000
805,Dense,1.000000
805,P-SAFE-AMSR,1.000000
808,Dense,1.000000
808,P-SAFE-AMSR,1.000000
814,Dense,1.000000
814,P-SAFE-AMSR,1.000000
823,Dense,1.000000
823,P-SAFE-AMSR,1.000000
832,Dense,1.000000
832,P-SAFE-AMSR,1.000000
834,Dense,0.000000
834,P-SAFE-AMSR,0.000000
845,Dense,0.333333
845,P-SAFE-AMSR,0.333333
852,Dense,0.430677
852,P-SAFE-AMSR,0.430677
859,Dense,0.630930
859,P-SAFE-AMSR,0.630930
870,Dense,0.000000
870,P-SAFE-AMSR,0.000000
882,Dense,1.000000
882,P-SAFE-AMSR,1.000000
887,Dense,0.000000
887,P-SAFE-AMSR,0.000000
903,Dense,1.000000
903,P-SAFE-AMSR,1.000000
904,Dense,1.000000
904,P-SAFE-AMSR,1.000000
907,Dense,1.000000
907,P-SAFE-AMSR,1.000000
911,Dense,1.000000
911,P-SAFE-AMSR,1.000000
914,Dense,0.000000
914,P-SAFE-AMSR,0.000000
94,Dense,0.000000
94,P-SAFE-AMSR,0.000000
967,Dense,1.000000
967,P-SAFE-AMSR,1.000000
971,Dense,0.732771
971,P-SAFE-AMSR,0.732771
99,Dense,0.301030
99,P-SAFE-AMSR,0.301030
