query_id,baseline,ndcg,action
5045,Dense-only,0.3562071871080222,Dense
5054,Dense-only,0.0,Dense
5064,Dense-only,0.9197207891481876,Dense
5080,Dense-only,0.0,Dense
5085,Dense-only,1.0,Dense
5150,Dense-only,0.3333333333333333,Dense
5155,Dense-only,1.0,Dense
5172,Dense-only,0.0,Dense
5178,Dense-only,0.21398626473452756,Dense
5206,Dense-only,0.13032376591037062,Dense
5228,Dense-only,0.0,Dense
5231,Dense-only,0.0,Dense
5255,Dense-only,1.0,Dense
5264,Dense-only,0.7144729184600214,Dense
529,Dense-only,0.0,Dense
5331,Dense-only,0.5,Dense
5347,Dense-only,1.0,Dense
5356,Dense-only,0.22004653412513583,Dense
5380,Dense-only,1.0,Dense
5410,Dense-only,0.0,Dense
5422,Dense-only,0.11751610475642714,Dense
5427,Dense-only,0.38685280723454163,Dense
547,Dense-only,0.0,Dense
549,Dense-only,0.0,Dense
5505,Dense-only,0.6309297535714575,Dense
5549,Dense-only,0.0,Dense
5585,Dense-only,0.0,Dense
5592,Dense-only,1.0,Dense
5620,Dense-only,0.0,Dense
5646,Dense-only,1.0,Dense
570,Dense-only,0.0,Dense
5710,Dense-only,0.31546487678572877,Dense
5790,Dense-only,0.0,Dense
585,Dense-only,0.6131471927654584,Dense
588,Dense-only,0.5437713091520254,Dense
5888,Dense-only,0.0,Dense
5906,Dense-only,0.5437713091520254,Dense
5940,Dense-only,0.0,Dense
5951,Dense-only,0.45379693233402835,Dense
5970,Dense-only,0.2960819109658652,Dense
5993,Dense-only,0.42520843362602384,Dense
6005,Dense-only,0.46975579500086934,Dense
604,Dense-only,0.43734888382569426,Dense
6133,Dense-only,0.23719771276929622,Dense
6199,Dense-only,0.5855700749881525,Dense
6221,Dense-only,0.0,Dense
6262,Dense-only,0.6049306994552042,Dense
6410,Dense-only,0.0,Dense
6420,Dense-only,0.6131471927654584,Dense
6467,Dense-only,0.0,Dense
6554,Dense-only,0.0,Dense
6629,Dense-only,0.0,Dense
6635,Dense-only,0.5855700749881525,Dense
6644,Dense-only,0.0,Dense
6647,Dense-only,0.7653606369886217,Dense
6683,Dense-only,0.19342640361727081,Dense
6715,Dense-only,0.9197207891481876,Dense
672,Dense-only,0.0,Dense
6746,Dense-only,0.38685280723454163,Dense
6787,Dense-only,0.0,Dense
6792,Dense-only,0.0,Dense
6800,Dense-only,1.0,Dense
6814,Dense-only,0.0,Dense
6832,Dense-only,0.6052602440527057,Dense
6835,Dense-only,0.38685280723454163,Dense
6890,Dense-only,0.3065735963827292,Dense
6891,Dense-only,0.46927872602275644,Dense
701,Dense-only,0.0,Dense
7068,Dense-only,0.6131471927654584,Dense
7096,Dense-only,0.0,Dense
7105,Dense-only,0.43067655807339306,Dense
