query_id,baseline,ndcg,action
1,Dense-only,0.0,Dense
100,Dense-only,0.5,Dense
1012,Dense-only,1.0,Dense
1019,Dense-only,0.6309297535714575,Dense
1021,Dense-only,0.6309297535714575,Dense
1029,Dense-only,0.7653606369886217,Dense
1049,Dense-only,0.43067655807339306,Dense
1104,Dense-only,1.0,Dense
1107,Dense-only,0.5,Dense
113,Dense-only,1.0,Dense
1132,Dense-only,0.6131471927654584,Dense
1140,Dense-only,0.5,Dense
1150,Dense-only,1.0,Dense
1163,Dense-only,1.0,Dense
1175,Dense-only,0.0,Dense
1179,Dense-only,0.0,Dense
118,Dense-only,1.0,Dense
1180,Dense-only,1.0,Dense
1185,Dense-only,1.0,Dense
1191,Dense-only,0.0,Dense
1194,Dense-only,1.0,Dense
1197,Dense-only,0.5,Dense
1199,Dense-only,0.0,Dense
1200,Dense-only,0.0,Dense
1202,Dense-only,1.0,Dense
1204,Dense-only,1.0,Dense
1213,Dense-only,0.0,Dense
1216,Dense-only,1.0,Dense
1225,Dense-only,1.0,Dense
1245,Dense-only,0.38685280723454163,Dense
1259,Dense-only,1.0,Dense
1262,Dense-only,1.0,Dense
127,Dense-only,1.0,Dense
1270,Dense-only,1.0,Dense
1271,Dense-only,1.0,Dense
1272,Dense-only,0.0,Dense
1273,Dense-only,1.0,Dense
1274,Dense-only,0.8385465274895063,Dense
1278,Dense-only,0.0,Dense
1279,Dense-only,0.5,Dense
128,Dense-only,0.0,Dense
1281,Dense-only,0.0,Dense
129,Dense-only,1.0,Dense
1290,Dense-only,1.0,Dense
130,Dense-only,1.0,Dense
132,Dense-only,0.0,Dense
1320,Dense-only,1.0,Dense
133,Dense-only,0.615733440277688,Dense
1339,Dense-only,1.0,Dense
1352,Dense-only,1.0,Dense
1363,Dense-only,0.0,Dense
1368,Dense-only,0.5,Dense
1379,Dense-only,0.9058653015743079,Dense
1385,Dense-only,0.6309297535714575,Dense
1389,Dense-only,1.0,Dense
1395,Dense-only,1.0,Dense
141,Dense-only,0.9197207891481876,Dense
142,Dense-only,1.0,Dense
146,Dense-only,1.0,Dense
179,Dense-only,0.9619991470595832,Dense
180,Dense-only,1.0,Dense
212,Dense-only,1.0,Dense
213,Dense-only,0.3562071871080222,Dense
219,Dense-only,1.0,Dense
238,Dense-only,0.5,Dense
239,Dense-only,0.31546487678572877,Dense
261,Dense-only,0.39564672360221187,Dense
274,Dense-only,1.0,Dense
298,Dense-only,1.0,Dense
300,Dense-only,0.0,Dense
314,Dense-only,0.0,Dense
327,Dense-only,1.0,Dense
350,Dense-only,1.0,Dense
362,Dense-only,0.6309297535714575,Dense
380,Dense-only,1.0,Dense
386,Dense-only,1.0,Dense
399,Dense-only,1.0,Dense
411,Dense-only,1.0,Dense
415,Dense-only,0.3010299956639812,Dense
42,Dense-only,1.0,Dense
421,Dense-only,0.0,Dense
431,Dense-only,0.0,Dense
440,Dense-only,1.0,Dense
443,Dense-only,1.0,Dense
452,Dense-only,0.23719771276929622,Dense
475,Dense-only,0.0,Dense
48,Dense-only,0.0,Dense
49,Dense-only,1.0,Dense
491,Dense-only,1.0,Dense
5,Dense-only,1.0,Dense
501,Dense-only,0.6309297535714575,Dense
507,Dense-only,0.6309297535714575,Dense
508,Dense-only,0.0,Dense
513,Dense-only,0.6309297535714575,Dense
514,Dense-only,1.0,Dense
521,Dense-only,0.43067655807339306,Dense
525,Dense-only,1.0,Dense
53,Dense-only,1.0,Dense
532,Dense-only,1.0,Dense
536,Dense-only,1.0,Dense
540,Dense-only,0.6131471927654584,Dense
552,Dense-only,1.0,Dense
554,Dense-only,0.5,Dense
560,Dense-only,0.0,Dense
569,Dense-only,1.0,Dense
575,Dense-only,0.6309297535714575,Dense
587,Dense-only,0.6309297535714575,Dense
589,Dense-only,1.0,Dense
613,Dense-only,1.0,Dense
623,Dense-only,0.3010299956639812,Dense
636,Dense-only,1.0,Dense
660,Dense-only,0.0,Dense
674,Dense-only,0.5,Dense
690,Dense-only,1.0,Dense
691,Dense-only,1.0,Dense
692,Dense-only,0.0,Dense
693,Dense-only,1.0,Dense
716,Dense-only,0.0,Dense
72,Dense-only,0.6309297535714575,Dense
721,Dense-only,1.0,Dense
727,Dense-only,0.0,Dense
742,Dense-only,1.0,Dense
75,Dense-only,1.0,Dense
756,Dense-only,0.6309297535714575,Dense
768,Dense-only,0.0,Dense
775,Dense-only,0.0,Dense
781,Dense-only,1.0,Dense
785,Dense-only,0.0,Dense
800,Dense-only,0.5,Dense
805,Dense-only,1.0,Dense
823,Dense-only,1.0,Dense
830,Dense-only,0.0,Dense
831,Dense-only,0.0,Dense
834,Dense-only,0.0,Dense
837,Dense-only,1.0,Dense
839,Dense-only,0.6309297535714575,Dense
847,Dense-only,0.6309297535714575,Dense
852,Dense-only,0.43067655807339306,Dense
870,Dense-only,0.0,Dense
873,Dense-only,0.49661976912920763,Dense
879,Dense-only,1.0,Dense
882,Dense-only,1.0,Dense
887,Dense-only,0.0,Dense
904,Dense-only,1.0,Dense
913,Dense-only,0.0,Dense
914,Dense-only,0.0,Dense
936,Dense-only,1.0,Dense
94,Dense-only,0.0,Dense
956,Dense-only,0.6309297535714575,Dense
960,Dense-only,1.0,Dense
971,Dense-only,0.7327711443782634,Dense
99,Dense-only,0.3010299956639812,Dense
1,Always-Hybrid,0.0,Deep Hybrid
100,Always-Hybrid,1.0,Deep Hybrid
1012,Always-Hybrid,1.0,Deep Hybrid
1019,Always-Hybrid,0.6309297535714575,Deep Hybrid
1021,Always-Hybrid,0.6309297535714575,Deep Hybrid
1029,Always-Hybrid,0.9674679834891693,Deep Hybrid
1049,Always-Hybrid,0.38685280723454163,Deep Hybrid
1104,Always-Hybrid,1.0,Deep Hybrid
1107,Always-Hybrid,1.0,Deep Hybrid
113,Always-Hybrid,1.0,Deep Hybrid
1132,Always-Hybrid,0.23719771276929622,Deep Hybrid
1140,Always-Hybrid,1.0,Deep Hybrid
1150,Always-Hybrid,1.0,Deep Hybrid
1163,Always-Hybrid,1.0,Deep Hybrid
1175,Always-Hybrid,0.0,Deep Hybrid
1179,Always-Hybrid,0.0,Deep Hybrid
118,Always-Hybrid,1.0,Deep Hybrid
1180,Always-Hybrid,0.43067655807339306,Deep Hybrid
1185,Always-Hybrid,1.0,Deep Hybrid
1191,Always-Hybrid,0.0,Deep Hybrid
1194,Always-Hybrid,1.0,Deep Hybrid
1197,Always-Hybrid,0.6309297535714575,Deep Hybrid
1199,Always-Hybrid,0.0,Deep Hybrid
1200,Always-Hybrid,0.31546487678572877,Deep Hybrid
1202,Always-Hybrid,1.0,Deep Hybrid
1204,Always-Hybrid,0.6309297535714575,Deep Hybrid
1213,Always-Hybrid,0.0,Deep Hybrid
1216,Always-Hybrid,1.0,Deep Hybrid
1225,Always-Hybrid,1.0,Deep Hybrid
1245,Always-Hybrid,1.0,Deep Hybrid
1259,Always-Hybrid,1.0,Deep Hybrid
1262,Always-Hybrid,1.0,Deep Hybrid
127,Always-Hybrid,1.0,Deep Hybrid
1270,Always-Hybrid,1.0,Deep Hybrid
1271,Always-Hybrid,1.0,Deep Hybrid
1272,Always-Hybrid,0.6309297535714575,Deep Hybrid
1273,Always-Hybrid,1.0,Deep Hybrid
1274,Always-Hybrid,0.8854598815714874,Deep Hybrid
1278,Always-Hybrid,0.0,Deep Hybrid
1279,Always-Hybrid,0.0,Deep Hybrid
128,Always-Hybrid,0.0,Deep Hybrid
1281,Always-Hybrid,0.0,Deep Hybrid
129,Always-Hybrid,1.0,Deep Hybrid
1290,Always-Hybrid,1.0,Deep Hybrid
130,Always-Hybrid,1.0,Deep Hybrid
132,Always-Hybrid,0.0,Deep Hybrid
1320,Always-Hybrid,1.0,Deep Hybrid
133,Always-Hybrid,0.29039140533630226,Deep Hybrid
1339,Always-Hybrid,1.0,Deep Hybrid
1352,Always-Hybrid,1.0,Deep Hybrid
1363,Always-Hybrid,0.0,Deep Hybrid
