query_id,dataset,seed,mode,method,selected_action,dense_search_ms,bm25_search_ms,graph_expansion_ms,fusion_ms,cross_encoder_ms,feature_extraction_ms,router_decision_ms,total_ms,cross_encoder_calls,candidates_reranked,candidates_explored
PLAIN-1008,nfcorpus,2026,balanced,balanced,Deep Hybrid,0.5907000158913434,2.245000039692968,0.01379998866468668,0.01680001150816679,802.4692999315448,0.6848999764770269,1.1510999756865203,807.1715999394655,1,100,0
PLAIN-1018,nfcorpus,2026,balanced,balanced,Deep Hybrid,0.3094999701716006,1.13800005055964,0.00990001717582345,0.021599989850074053,614.4286999478936,2.7061000000685453,1.06229999801144,619.6760999737307,1,100,0
PLAIN-1039,nfcorpus,2026,balanced,balanced,Dense,0.3198999911546707,2.2897999733686447,0.009800016414374113,0.024500011932104826,0.0,2.5622000102885067,1.0316999978385866,6.237900000996888,0,0,0
PLAIN-1066,nfcorpus,2026,balanced,balanced,Deep Hybrid,0.3510999958962202,2.8596000047400594,0.009300012607127428,0.025300018023699522,628.130599972792,2.2193000186234713,1.109300006646663,634.7045000293292,1,100,0
PLAIN-1088,nfcorpus,2026,balanced,balanced,Deep Hybrid,0.3056999994441867,1.2520999880507588,0.00909995287656784,0.021300045773386955,601.1813000077382,2.4742999812588096,1.2060999870300293,606.4498999621719,1,100,0
PLAIN-1098,nfcorpus,2026,balanced,balanced,Deep Hybrid,0.31450000824406743,1.2032000231556594,0.009400013368576765,0.018899969290941954,840.782199986279,0.16150000737980008,1.5047999913804233,843.9944999990985,1,100,0
PLAIN-1119,nfcorpus,2026,balanced,balanced,Dense,0.28229999588802457,2.2532999864779413,0.010000017937272787,0.024499953724443913,0.0,2.3858000058680773,1.1424999684095383,6.098399928305298,0,0,0
PLAIN-1130,nfcorpus,2026,balanced,balanced,Deep Hybrid,0.34069997491315007,1.1777000036090612,0.009700015652924776,0.02519995905458927,633.2132000825368,2.210300008300692,1.0240999981760979,638.0009000422433,1,100,0
PLAIN-1141,nfcorpus,2026,balanced,balanced,Dense,0.29039999935775995,2.180500014219433,0.010699965059757233,0.02500001573935151,0.0,2.6094000204466283,1.062600000295788,6.178600015118718,0,0,0
PLAIN-1151,nfcorpus,2026,balanced,balanced,Deep Hybrid,0.27790002059191465,3.2905000261962414,0.009700015652924776,0.021799991372972727,592.9146999260411,2.4785000132396817,1.0079999919980764,600.0010999850929,1,100,0
PLAIN-1172,nfcorpus,2026,balanced,balanced,Deep Hybrid,0.30150002567097545,1.4946999726817012,0.010100018698722124,0.023200002033263445,606.0517000150867,2.2219999809749424,1.026199955958873,611.1293999711052,1,100,0
